"recipient","agency","subagency","obligation"
"GREENWAY ENTERPRISES INC","Department of State","Department of State",3577819.71
"GREENWOOD PUBLISHING GROUP INC","Department of Defense","Department of Defense Education Activity",2518810.81
"GREENWOOD TENAX LLC","Department of Agriculture","Forest Service",29479056.94
"GREENZONE SOLUTIONS INC","Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",2365517.6
"GREENZONE SOLUTIONS INC","Department of Homeland Security","Transportation Security Administration",1086402.62
"GREENZONE SOLUTIONS INC","Department of Homeland Security","U.S. Immigration and Customs Enforcement",1335789.72
"GREENZONE SOLUTIONS INC","Department of the Treasury","Departmental Offices",1191150.4
"GREENZONE SOLUTIONS INC","Office of Personnel Management","Office of Personnel Management",5701611.23
"GREER LABORATORIES INC","Department of Defense","Department of the Army",1175805.76
"GREG ORCHARDS & PRODUCE INC","Department of Agriculture","Agricultural Marketing Service",3044847.56
"GREGG TOWNSHIP MUNICIPAL AUTHORITY","Department of Justice","Federal Prison System / Bureau of Prisons",1020000
"GREGORI CONSTRUCTION INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1879363
"GREGORIOS MOBIL FOOD","Department of Defense","Department of the Navy",10134015.51
"GREGORY ELECTRIC COMPANY INC","Department of Defense","Department of the Army",1831259.34
"GREGORY PACKAGING INC","Department of Agriculture","Agricultural Marketing Service",4664693.76
"GREGORY PACKAGING INC","Department of Agriculture","Food and Nutrition Service",2850432
"GREYHOUND LINES INC","Department of Justice","Federal Prison System / Bureau of Prisons",1456012.11
"GREYSTONES CONSULTING GROUP LLC","Department of Defense","Department of the Army",1289991.4
"GREYSTONES CONSULTING GROUP LLC","Department of Defense","Department of the Navy",4300828.8
"GREYSTONES CONSULTING GROUP LLC","General Services Administration","Federal Acquisition Service",1929245
"GRID LOGIC","Department of Defense","Defense Advanced Research Projects Agency",5587628
"GRIDIRON CONSTRUCTION COMPANY LLC","Department of Defense","Department of the Air Force",1573181.55
"GRIFFIN CONSTRUCTION LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1036265
"GRIFFINS PROPANE INC","Department of Health and Human Services","Indian Health Service",1580584.73
"GRIFFISS UTILITY SERVICES CORPORATION","Department of Defense","Defense Finance and Accounting Service",7532987.16
"GRIFFITH ENGINEERING INC","Department of Defense","Department of the Army",1785083
"GRIFOLS BIOLOGICALS INC","Department of Veterans Affairs","Department of Veterans Affairs",7943263.65
"GRIFOLS DIAGNOSTIC SOLUTIONS INC","Department of Defense","Department of the Army",1636044.52
"GRIFOLS DIAGNOSTIC SOLUTIONS INC","Department of Defense","Department of the Navy",2009391.26
"GRIFOLS DIAGNOSTIC SOLUTIONS INC","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",6200979
"GRIGRY ENERGY INC","Department of Defense","Defense Logistics Agency",133902562.8
"GRIMMER CONSTRUCTION INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",4515596.48
"GRISWOLD INDUSTRIES CO","Department of Defense","Defense Logistics Agency",6682822.35
"GRISWOLD INDUSTRIES CO","Department of Defense","Department of the Navy",3042637.48
"GRITTER - FRANCONA INC","Department of Veterans Affairs","Department of Veterans Affairs",8433164.05
"GROT INC","Department of Defense","Department of the Army",9221628.81
"GROT INC","Department of Justice","Federal Prison System / Bureau of Prisons",2269013.73
"GROT INC","Department of the Treasury","Bureau of Engraving and Printing",2982096.23
"GROT INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",3586344
"GROTON UTILITIES","Department of Defense","Department of the Navy",1589383.52
"GROUNDWATER SERVICES INC","Department of Defense","Department of the Army",5809438.34
"GROUP 1 SOFTWARE INC","Department of Homeland Security","Federal Emergency Management Agency",1103373
"GROUP 1 SOFTWARE INC","Department of Homeland Security","Office of the Chief Procurement Officer",2585343.35
"GROUP 70 GUSHIKEN A-E LLP","Department of Defense","Department of the Army",6845451.81
"GROUP HEALTH INCORPORATED","Department of Health and Human Services","Centers for Medicare and Medicaid Services",338747250
"GROUP III MGT INC","Department of Defense","Department of the Army",2825839
"GROUP III MGT INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3795100
"GROUP III MGT INC","Department of the Interior","National Park Service",6185685.15
"GROUPSYSTEMS CORPORATION","Department of Health and Human Services","Centers for Medicare and Medicaid Services",1041930
"GROVE RESOURCE SOLUTIONS INC","Department of Defense","Defense Health Agency",5771122.66
"GROVE RESOURCE SOLUTIONS INC","Department of Defense","Department of the Navy",25306456.28
"GROVE RESOURCE SOLUTIONS INC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",13162353.09
"GROVE RESOURCE SOLUTIONS INC","Department of Health and Human Services","National Institutes of Health",6344680.96
"GROVE RESOURCE SOLUTIONS INC","Department of Justice","Federal Bureau of Investigation",1368246.4
"GROVE STREET INVESTMENT LLC","Department of Housing and Urban Development","Department of Housing and Urban Development",3014583
"GROVE US LLC","Department of Defense","Defense Logistics Agency",6965572.72
"GROVE US LLC","Department of Defense","Department of the Army",3040214.44
"GROWTH TRANSITIONS INC","Department of Labor","Employment and Training Administration",19223010.18
"GRS SOLUTIONS INC","Department of Homeland Security","Federal Emergency Management Agency",10952238.55
"GRUNDY GOVERNMENT SERVICES LLC","Department of Defense","Department of the Army",6175973.68
"GRUNLEY CONSTRUCTION CO INC","Department of Defense","Department of the Army",26990011
"GRUNLEY CONSTRUCTION CO INC","Department of Defense","Washington Headquarters Services",81056530.91
"GRUNLEY CONSTRUCTION CO INC","Department of the Interior","National Park Service",10785000
"GRUNLEY CONSTRUCTION CO INC","General Services Administration","Public Buildings Service",116617789.53
"GRUNLEY CONSTRUCTION CO INC","National Archives and Records Administration","National Archives and Records Administration",2726643.66
"GRUNLEY CONSTRUCTION CO INC","Smithsonian Institution","Smithsonian Institution",61138890.29
"GRUNLEY WALSH LIMITED LIABILITY COMPANY","Department of State","Department of State",108035548.9
"GRUZEN SAMTON ARCHITECTS PLANNERS AND INTERIOR DESIGNERS LLP","General Services Administration","Public Buildings Service",1248673.59
"GRW ENGINEERS INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3093717
"GRYPHON ENVIRONMENTAL LLC","Department of Defense","Department of the Air Force",2608066.21
"GRYPHON ENVIRONMENTAL LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1929436.39
"GRYPHON ENVIRONMENTAL LLC","Department of Veterans Affairs","Department of Veterans Affairs",1048011.97
"GRYPHON GROUP SECURITY SOLUTIO","Department of Defense","U.S. Special Operations Command",2889083
"GRYPHON SCIENTIFIC LLC","Department of Defense","Defense Threat Reduction Agency",1735900.29
"GRYPHON SCIENTIFIC LLC","Department of Defense","Washington Headquarters Services",9805218.51
"GRYPHON SCIENTIFIC LLC","Department of Health and Human Services","National Institutes of Health",8374021.81
"GRYPHON SCIENTIFIC LLC","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",2479818.04
"GRYPHON SCIENTIFIC LLC","Department of Homeland Security","Office of the Under Secretary for Science and Technology",7347308.26
"GRYPHON TECHNOLOGIES LC","Department of Defense","Department of the Navy",265714431.03
"GRYPHON TECHNOLOGIES LC","Department of Defense","Missile Defense Agency",40078718.05
"GRYPHON TECHNOLOGIES LC","Department of Defense","Washington Headquarters Services",1295108.68
"GS CALTEX CORPORATION","Department of Defense","Defense Logistics Agency",21312009.74
"GS ENGINEERING INC","Department of Defense","Department of the Army",4316485.38
"GS ENGINEERING INC","Department of Defense","U.S. Special Operations Command",1723133.61
"GS ENVIRONMENTAL INC","Department of Defense","Defense Logistics Agency",11582145.32
"GS5 LLC","Department of Defense","Department of the Army",3464073.49
"GS5 LLC","General Services Administration","Federal Acquisition Service",13446480.21
"GSA FINANCIAL AND PAYROLL SERVICE","Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",13120306.02
"GSA FINANCIAL AND PAYROLL SERVICE","Department of Justice","Federal Prison Industries / Unicor",37678159.24
"GSA FINANCIAL AND PAYROLL SERVICE","Department of State","International Boundary and Water Commission: U.S.-Mexico",1119731.04
"GSBS PC","General Services Administration","Public Buildings Service",2177998.08
"GSD&M IDEA CITY LLC","Department of Defense","Department of the Air Force",55571291.68
"GSE FACILITY SERVICES LLC","Department of Defense","Department of the Army",2289734.67
"GSE FACILITY SERVICES LLC","Department of Defense","Department of the Navy",2285139.59
"GSE FACILITY SERVICES LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2218989.8
"GSE HOLDINGS INC","Department of Defense","Defense Logistics Agency",4066163.74
"GSE HOLDINGS INC","Department of Defense","Department of the Air Force",1153389.73
"GSF ENTERPRISES INC","Department of Veterans Affairs","Department of Veterans Affairs",1575422.63
"GSFW ENGINEERING JV","Department of Agriculture","Natural Resources Conservation Service",1453895.73
"GSI & WHITSELL-GREEN - A JOINT VENTURE","Department of Defense","Department of the Air Force",6657731
"GSI CONSTRUCTION CORPORATION INC","Department of Defense","Department of the Air Force",5800462.21
"GSI CONSTRUCTION CORPORATION INC","Department of Defense","U.S. Special Operations Command",2432878
"GSI CONSTRUCTION CORPORATION INC","Department of Veterans Affairs","Department of Veterans Affairs",2122065.6
"GSI NORTH AMERICA INC","Department of Defense","Defense Logistics Agency",9470320.87
"GSI NORTH AMERICA INC","Department of Defense","Department of the Army",58428849.82
"GSI PACIFIC INC","Department of Defense","Department of the Navy",23952273.57
"GSI-K JV LLC","Department of Defense","Department of the Navy",1079018.63
"GSL SOLUTIONS INC","Department of Defense","Department of the Air Force",1058377.06
"GSL SOLUTIONS INC","Department of Defense","Department of the Army",3176157.68
"GSSL INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",3513129.77
"GSTEK INC","Department of Defense","Department of the Army",12515208.06
"GSTEK INC","Department of Defense","Department of the Navy",9658375.79
"GT CONTRACTING LLC","Department of Defense","Department of the Navy",1239296.58
"GTA CONTAINERS INC","Department of Defense","Defense Logistics Agency",2010435.43
"GTA CONTAINERS INC","Department of Defense","Department of the Army",2249455.71
"GTB INNOVATIVE SOLUTIONS INC","Department of Homeland Security","Office of the Chief Procurement Officer",3579714
"GTB INNOVATIVE SOLUTIONS INC","Department of Homeland Security","U.S. Customs and Border Protection",9335645.7
"GTD UNLIMITED LLC","Department of Defense","Missile Defense Agency",1124961.63
"GTI SYSTEMS INC","Department of Defense","Department of the Army",59937172.13
"GTS CONSTRUCTION INC","Department of Defense","Department of the Air Force",2355338
"GTS FORESTRY INC","Department of Defense","Department of the Air Force",1383716.88
"GTSI CORP","Department of Homeland Security","National Protection and Programs Directorate",3499035.88
"GTSI CORP","Department of Homeland Security","Office of the Inspector General",1325924.44
"GTSI CORP","Department of Homeland Security","Transportation Security Administration",9055164.06
"GTSI CORP","Department of Homeland Security","U.S. Citizenship and Immigration Services",9628053.35
"GTSI CORP","Department of Homeland Security","U.S. Coast Guard",9705555.37
"GTSI CORP","Department of Homeland Security","U.S. Customs and Border Protection",18905687.45
"GTSI CORP","Department of Homeland Security","U.S. Immigration and Customs Enforcement",2345616.4
"GTSI CORP","Department of Homeland Security","U.S. Secret Service",1703184.3
"GTSI CORP","Department of Transportation","Federal Aviation Administration",448707115.74
"GTSI CORPORATION","Department of the Treasury","Internal Revenue Service",2281515.43
"GUAHAN WASTE CONTROL INC","Department of Defense","Department of the Navy",1892725.56
"GUAM INDUSTRIAL SERVICES INC","Department of Defense","Department of the Navy",9401685.18
"GUAM MACC BUILDERS A JV","Department of Defense","Department of the Navy",5871746.91
"GUAM PACIFIC INTERNATIONAL LLC","Department of Defense","Department of the Navy",84464309.73
"GUAM TAMAGAWA CO LTD","Department of Defense","Department of the Navy",1032778.4
"GUARANTEE INTERIORS INC","Department of Veterans Affairs","Department of Veterans Affairs",39746631.11
"GUARD FORCE INTERNATIONAL INC","Department of Veterans Affairs","Department of Veterans Affairs",1396149.18
