"recipient","agency","subagency","obligation"
"AAC INC","Equal Employment Opportunity Commission","Equal Employment Opportunity Commission",6347706.56
"AAC INC","Federal Communications Commission","Federal Communications Commission",15193749.46
"AAH ACQUISITION LLC","Department of Defense","Defense Logistics Agency",1582861.34
"AAI CORP","Department of State","Department of State",2610511.09
"AAI CORPORATION","Department of Defense","Defense Logistics Agency",1383803790.7
"AAI CORPORATION","Department of Defense","Department of Defense",1482796.9
"AAI CORPORATION","Department of Defense","Department of the Air Force",1281357256.74
"AAI CORPORATION","Department of Defense","Department of the Army",3675176688.7
"AAI CORPORATION","Department of Defense","Department of the Navy",4000554673.59
"AAI CORPORATION","Department of Defense","U.S. Special Operations Command",33237675.28
"AAR AIRCRAFT SERVICES INC","Department of Defense","Defense Logistics Agency",156016215.13
"AAR AIRCRAFT SERVICES INC","Department of Energy","Department of Energy",31413381.49
"AAR AIRLIFT GROUP INC","Department of Defense","Department of the Army",152916249.83
"AAR AIRLIFT GROUP INC","Department of Defense","Department of the Navy",125202016.87
"AAR ALLEN SERVICES INC","Department of Defense","Department of the Air Force",59930296.2
"AARCHER INC","Department of the Interior","Bureau of Land Management",3683144.67
"AARDVARK","Department of Defense","Department of the Air Force",2301071.91
"AARDVARK","Department of Defense","Department of the Navy",1352409.04
"AARDVARK","Department of Homeland Security","Office of the Chief Procurement Officer",19068446.35
"AARDVARK","Department of Homeland Security","U.S. Customs and Border Protection",7549490.61
"AARDVARK","Department of Homeland Security","U.S. Immigration and Customs Enforcement",2709943.5
