COC_Number,COC_Name,amount
WA-500,Seattle/King County CoC,39194413.12
WA-501,Washington Balance of State CoC,8550297.01
WA-502,Spokane City & County CoC,5830976.53
WA-503,Tacoma/Lakewood/Pierce County CoC,3919313.89
WA-504,Everett/Snohomish County CoC,8427030.65
WA-507,Yakima City & County CoC,717108.99
WA-508,Vancouver/Clark County CoC,1250772.69
WI-500,Wisconsin Balance of State CoC,10663501.65
WI-501,Milwaukee City & County CoC,14186828.43
WI-502,Racine City & County CoC,1617129.66
WI-503,Madison/Dane County CoC,5682460
WV-500,Wheeling/Weirton Area CoC,541950
WV-501,"Huntington/Cabell, Wayne Counties CoC",2367051.46
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",3369434.12
WV-508,West Virginia Balance of State CoC,3488615.7
WY-500,Wyoming Statewide CoC,1519075.54
NA,NA,360599892.3
